,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
44,107.42,76.44,107.63,102.65,135.14,94.12,103.89,157.54,55.28,73.46,97.09,112.07,129.01,106.32,89.79,93.61,123.55,104.98,77.23,148.85,165.4,174.06,185.92,138.72,99.99,68.89,105.36,52.76,61.92,57.72,76.29,105.97,88.64,102.72,56.46,45.88,67.42,52.7,74.73,72.8,52.41,47.87,83.2,62.48,0.0,66.33,81.79,101.43,107.54,55.22,88.39,35.07,47.6,47.54,33.77,30.75,96.04,130.89,35.14,46.52
45,114.06,78.45,114.27,137.22,76.44,35.41,58.11,98.84,41.07,14.75,38.38,53.37,70.31,47.62,31.08,34.91,64.85,69.95,59.69,90.15,106.7,115.36,127.22,96.52,106.64,75.54,112.01,38.55,63.02,44.41,31.03,76.98,101.83,70.85,43.81,41.31,80.61,31.74,16.4,14.09,99.13,56.98,96.4,43.48,69.56,0.0,107.4,114.63,125.96,85.17,106.8,38.54,39.08,34.23,56.04,53.59,37.33,72.19,57.12,33.2
46,110.43,78.18,110.64,41.34,177.81,136.78,161.11,200.2,97.25,116.12,139.75,154.73,171.67,148.98,132.45,136.27,166.21,167.73,138.59,191.51,208.06,216.72,228.58,197.89,103.37,97.66,108.37,94.73,126.27,105.91,134.02,168.04,72.97,165.47,117.81,107.24,93.63,114.06,123.51,115.46,68.78,89.02,79.72,123.84,78.56,108.99,0.0,58.16,31.43,50.37,12.28,94.72,107.79,95.73,98.12,92.81,138.7,173.55,89.6,94.7
47,156.03,123.79,156.24,30.52,183.84,142.81,137.84,206.24,114.17,122.15,145.78,160.77,177.71,155.02,138.48,142.3,172.25,134.84,109.02,183.64,208.45,222.76,223.41,168.58,148.97,127.78,153.97,111.65,91.78,115.47,116.53,135.83,23.58,132.58,96.69,86.11,44.73,96.96,121.26,121.49,67.04,106.75,30.33,108.15,99.2,115.02,58.52,0.0,67.88,99.05,60.36,93.96,100.52,105.29,69.57,89.64,144.73,177.25,94.03,104.27
48,128.23,95.98,128.44,41.88,195.61,154.58,178.91,218.0,115.05,133.92,157.55,172.53,189.47,166.78,150.25,154.07,184.01,185.53,156.39,209.31,225.86,234.52,246.38,215.69,121.17,115.46,126.17,112.53,146.75,123.71,151.82,185.84,87.75,183.27,135.61,125.04,108.89,131.86,141.31,133.26,98.2,106.82,94.49,141.64,107.97,126.79,32.2,69.32,0.0,79.94,26.43,112.52,125.59,113.53,120.85,110.61,156.5,191.35,107.4,112.5
49,103.17,50.46,103.37,86.9,152.53,111.5,135.83,174.93,71.97,90.84,114.47,129.46,146.4,123.71,107.17,110.99,140.94,142.45,113.31,166.23,182.78,191.45,203.31,172.61,96.1,71.94,101.11,69.45,103.25,80.63,108.75,142.76,112.63,140.19,92.53,81.96,83.85,88.78,98.23,90.18,59.01,63.75,107.2,98.56,55.54,83.71,51.24,100.63,76.99,0.0,57.84,69.44,82.52,70.45,75.1,67.53,113.42,148.27,64.32,69.43
50,107.64,75.39,107.85,41.94,175.01,133.99,158.31,197.41,94.46,113.33,136.96,151.94,168.88,146.19,129.66,133.48,163.42,164.94,135.8,188.72,205.27,213.93,225.79,195.09,100.57,94.87,105.58,91.94,126.15,103.12,131.23,165.25,74.38,162.68,115.02,104.44,95.53,111.27,120.71,112.67,77.61,86.23,81.13,121.05,87.38,106.2,11.61,59.56,25.01,59.35,0.0,91.93,105.0,92.94,100.26,90.02,135.91,170.76,86.81,91.91
51,96.82,62.12,97.03,120.88,107.33,66.3,80.3,129.72,20.7,45.64,69.27,84.25,101.19,78.5,61.97,65.79,95.73,82.78,53.64,121.03,137.58,146.24,158.1,116.52,89.4,58.3,94.77,18.18,43.99,31.31,52.7,83.09,82.8,80.52,32.86,22.28,61.59,29.11,51.13,44.98,67.09,30.84,77.37,38.89,37.52,38.51,91.07,95.6,109.62,68.84,90.47,0.0,20.78,21.08,30.36,21.55,68.22,103.07,25.07,20.67
52,109.18,76.07,109.38,129.36,107.01,65.99,84.29,129.41,35.57,45.33,68.96,83.94,100.88,78.19,61.66,65.48,95.42,89.88,60.74,120.72,137.27,145.93,157.79,123.62,101.75,70.65,107.12,31.67,51.1,30.78,56.67,90.19,89.91,87.62,39.96,29.39,68.69,23.75,37.11,44.67,79.44,45.53,84.47,36.74,49.87,38.2,105.02,102.71,123.58,82.79,104.42,20.56,0.0,20.6,42.71,33.9,67.91,102.76,37.43,19.58
53,97.43,66.95,97.64,125.71,102.52,61.5,85.82,124.92,16.98,40.84,64.47,79.45,96.39,73.7,57.16,60.99,90.93,96.52,67.37,116.23,132.78,141.44,153.3,122.6,90.0,64.03,95.37,13.08,57.73,10.64,58.74,96.82,96.54,94.25,46.6,36.02,75.32,39.9,39.07,40.18,83.54,32.89,91.11,52.62,53.96,33.71,95.9,109.34,114.45,73.67,95.3,22.42,21.67,0.0,46.8,38.0,63.41,98.27,41.52,4.04
