,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
10,157.38,131.28,156.97,193.9,58.4,6.31,61.13,76.67,83.17,41.83,0.0,15.03,29.94,10.31,23.65,12.79,24.82,56.99,82.77,52.56,50.17,87.37,75.56,55.78,150.13,122.09,157.79,81.58,106.36,79.91,63.82,82.6,158.9,79.41,75.94,81.41,132.17,68.62,54.84,42.02,128.25,94.79,150.46,75.59,109.9,46.03,170.44,179.1,181.1,145.45,169.72,82.29,72.22,74.71,105.44,93.9,16.04,37.2,99.46,74.15
11,155.93,129.83,155.53,192.45,67.47,15.38,70.2,85.74,81.73,34.92,13.22,0.0,36.34,23.53,22.63,12.09,31.22,66.07,81.32,61.63,63.12,96.44,93.34,64.86,148.68,120.64,156.34,80.13,104.91,78.46,62.37,91.68,157.45,88.48,74.49,79.96,130.72,67.17,53.39,35.12,126.8,93.34,149.01,74.14,108.45,44.58,168.99,177.65,179.66,144.01,168.27,80.84,70.77,73.26,103.99,92.45,23.53,46.27,98.01,72.7
12,181.85,155.76,181.45,218.37,43.13,31.69,86.51,66.25,107.65,66.3,28.52,36.28,0.0,38.36,47.93,37.07,6.99,82.38,107.24,77.94,67.3,76.95,83.59,81.17,174.61,146.56,182.26,106.05,130.83,104.38,88.29,107.99,183.37,104.79,100.41,105.88,156.64,93.09,79.32,66.49,152.72,119.26,174.93,100.06,134.37,70.5,194.91,203.57,205.58,169.93,194.19,106.76,96.69,99.19,129.91,118.37,41.52,62.58,123.93,98.62
13,160.93,134.83,160.52,197.45,61.94,9.98,53.11,80.22,86.72,45.37,10.27,23.12,38.77,0.0,31.74,20.87,33.64,48.97,76.05,44.54,41.06,61.68,64.1,47.76,153.68,125.63,161.34,85.12,109.9,83.45,67.37,74.59,162.45,71.39,79.49,84.95,135.72,72.17,58.39,45.57,131.79,98.34,154.0,79.13,113.45,49.57,173.98,182.65,184.65,149.0,173.26,85.84,75.76,78.26,108.99,97.44,15.44,29.18,103.01,77.69
14,137.43,111.33,137.03,173.95,78.85,29.16,62.32,97.13,63.23,16.53,23.68,23.07,48.68,35.92,0.0,12.83,43.56,78.46,62.82,74.03,76.51,107.82,114.47,77.25,130.18,102.14,137.84,61.63,86.41,59.96,43.87,76.28,138.95,73.09,55.99,61.46,112.22,48.67,34.89,16.73,108.3,74.84,130.51,55.64,89.95,26.08,150.49,159.15,161.16,125.51,149.77,62.34,52.27,54.76,85.49,73.95,17.51,58.67,79.51,54.2
15,145.35,119.25,144.94,181.87,65.77,13.69,68.51,84.05,71.14,24.34,12.04,11.76,37.03,21.83,12.05,0.0,31.91,64.37,70.74,59.94,61.43,94.75,91.64,63.16,138.1,110.05,145.76,69.55,94.33,67.87,51.79,84.2,146.87,81.01,63.91,69.37,120.14,56.59,42.81,24.53,116.22,82.76,138.42,63.55,97.87,33.99,158.4,167.07,169.07,133.42,157.69,70.26,60.18,62.68,93.41,81.86,9.38,44.58,87.43,62.11
16,176.76,150.66,176.35,213.28,36.59,26.6,81.42,72.77,102.55,61.2,23.43,31.19,6.92,33.27,42.83,31.97,0.0,77.28,102.15,72.85,60.66,73.89,76.31,76.07,169.51,141.46,177.17,100.95,125.73,99.28,83.2,102.89,178.28,99.7,95.32,100.78,151.55,88.0,74.22,61.4,147.62,114.17,169.83,94.96,129.28,65.4,189.81,198.48,200.48,164.83,189.09,101.67,91.59,94.09,124.82,113.27,36.42,57.49,118.84,93.52
17,155.36,133.52,154.96,169.77,103.24,52.64,13.97,89.77,82.32,48.1,55.95,66.24,82.57,48.72,74.85,63.99,77.44,0.0,28.39,41.12,61.85,79.12,74.22,28.7,148.12,120.07,155.77,80.73,42.39,91.17,30.36,26.92,129.22,23.73,44.48,55.41,102.49,56.35,52.57,47.28,118.69,88.58,120.78,44.35,103.05,43.75,172.67,149.42,183.34,147.69,171.95,74.14,68.49,85.97,75.76,82.93,55.71,33.68,88.49,85.4
18,127.96,106.11,127.55,144.33,130.96,81.27,25.91,115.86,59.73,47.78,84.59,83.62,111.2,75.81,66.86,73.38,106.08,27.38,0.0,67.21,87.94,105.21,100.31,54.79,120.71,92.66,128.37,58.13,16.95,63.76,21.92,17.64,103.78,21.69,17.08,28.01,77.05,28.95,44.08,46.96,93.24,61.18,95.34,22.76,77.61,42.6,145.26,123.98,155.93,120.28,144.55,46.74,41.08,58.57,50.32,55.53,79.4,59.77,61.09,58.0
19,198.08,171.98,197.67,208.61,99.09,48.49,53.97,49.65,123.87,82.52,51.8,62.09,78.42,44.58,70.7,59.84,73.29,40.97,67.22,0.0,21.73,38.99,34.09,21.44,190.83,162.79,198.49,122.28,81.22,120.6,70.36,63.84,168.06,60.65,83.32,94.25,141.33,109.32,95.54,82.72,157.52,135.49,159.61,89.0,141.89,86.72,211.13,188.26,221.8,186.15,210.42,122.99,112.91,115.41,114.6,134.6,51.56,20.31,140.16,114.84
20,211.09,184.99,210.68,229.05,56.76,49.71,74.42,32.53,136.88,95.53,50.0,62.85,67.04,41.66,71.46,60.6,60.47,61.41,87.67,21.49,0.0,21.61,24.02,41.89,203.84,175.79,211.5,135.29,101.67,133.61,90.8,84.28,188.5,81.09,103.76,114.69,161.77,122.33,108.55,95.73,177.96,148.5,180.06,109.45,163.61,99.73,224.14,208.7,234.81,199.16,223.43,136.0,125.92,128.42,135.04,147.61,55.17,40.09,153.17,127.85
21,231.73,205.63,231.32,268.25,41.01,83.99,91.63,10.76,157.53,116.18,87.3,97.59,77.17,62.77,109.66,95.34,73.87,78.63,104.88,38.7,21.57,0.0,6.81,59.1,224.48,196.44,232.14,155.93,118.88,154.26,138.17,101.5,233.25,98.3,120.97,155.76,206.52,142.97,129.19,116.37,202.6,169.14,224.81,149.94,184.25,120.38,244.79,253.45,255.46,219.81,244.07,156.64,146.57,149.06,179.79,168.25,93.62,57.31,173.81,148.5
